,rep,tech,api,model,test_name,total,soundness,validity
127,1,pbt,zlib.compress,gemini-1.5-pro-latest-final,test_zlib_compress,1000,0.0,0.0
128,1,pbt,zlib.compress,gpt-4-final,test_zlib_compress,1000,1000.0,668.0
129,1,pbt,zlib.decompress,claude-3-opus-20240229,test_zlib_decompress,1000,0.0,0.0
130,1,pbt,zlib.decompress,gpt-4-final,test_zlib_decompress,1000,910.0,600.0
131,1,pbt_and_props,cryptography.fernet.Fernet.decrypt,claude-3-opus-20240229,test_decrypt_expired_ttl,1000,1000.0,1000.0
132,1,pbt_and_props,cryptography.fernet.Fernet.decrypt,claude-3-opus-20240229,test_decrypt_invalid_token,1000,1000.0,1000.0
133,1,pbt_and_props,cryptography.fernet.Fernet.decrypt,claude-3-opus-20240229,test_decrypt_output_type,1000,1000.0,1000.0
134,1,pbt_and_props,cryptography.fernet.Fernet.decrypt,claude-3-opus-20240229,test_decrypt_roundtrip,1000,1000.0,1000.0
135,1,pbt_and_props,cryptography.fernet.Fernet.decrypt,claude-3-opus-20240229,test_decrypt_valid_ttl,1000,1000.0,1000.0
136,1,pbt_and_props,cryptography.fernet.Fernet.decrypt,gemini-1.5-pro-latest-final,results/gemini-1.5-pro-latest-reorder-inst-final/cryptography.fernet.Fernet.decrypt/pbt_and_props/pbt_1.py,1000,0.0,0.0
137,1,pbt_and_props,cryptography.fernet.Fernet.decrypt,gemini-1.5-pro-latest-final,test_decrypt_idempotence,1000,,0.0
138,1,pbt_and_props,cryptography.fernet.Fernet.decrypt,gemini-1.5-pro-latest-final,test_decrypt_matches_original,1000,,0.0
139,1,pbt_and_props,cryptography.fernet.Fernet.decrypt,gemini-1.5-pro-latest-final,test_decrypt_output_type,1000,,0.0
140,1,pbt_and_props,cryptography.fernet.Fernet.decrypt,gemini-1.5-pro-latest-final,test_expired_token_raises_exception,1000,,0.0
141,1,pbt_and_props,cryptography.fernet.Fernet.decrypt,gemini-1.5-pro-latest-final,test_invalid_key_raises_exception,1000,,0.0
142,1,pbt_and_props,cryptography.fernet.Fernet.decrypt,gpt-4-final,test_cryptography_decrypt_property,1000,0.0,0.0
143,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,test_encrypt_decrypt_different_key,1000,1000.0,1000.0
